2026-02-21 12:43:45 | INFO     | ecommerce | <stdin>:11 | 这是一条 INFO 日志 - 用于记录正常运行信息
2026-02-21 12:43:45 | WARNING  | ecommerce | <stdin>:12 | 这是一条 WARNING 日志 - 用于记录警告信息
2026-02-21 12:43:45 | ERROR    | ecommerce | <stdin>:13 | 这是一条 ERROR 日志 - 用于记录错误信息
2026-02-21 15:10:18 | INFO     | ecommerce | product_service.py:21 | 创建分类: 测试分类
2026-02-21 15:10:18 | INFO     | ecommerce | product_service.py:30 | 分类创建成功: ID=c671b8d5-a566-4b96-ba54-d871d8cf8a4a
2026-02-21 15:10:18 | INFO     | ecommerce | product_service.py:88 | 创建商品: 测试商品
2026-02-21 15:10:18 | INFO     | ecommerce | product_service.py:103 | 商品创建成功: ID=e69d5735-948a-4a10-8914-770e20ad941e
2026-02-21 15:10:18 | INFO     | ecommerce | product_service.py:176 | 商品更新成功: ID=e69d5735-948a-4a10-8914-770e20ad941e
2026-02-21 15:10:18 | INFO     | ecommerce | product_service.py:227 | 创建商品规格: product_id=e69d5735-948a-4a10-8914-770e20ad941e, name=颜色
2026-02-21 15:10:18 | INFO     | ecommerce | product_service.py:218 | 商品库存扣减: ID=e69d5735-948a-4a10-8914-770e20ad941e, 扣减=10, 剩余=90
2026-02-21 15:10:18 | INFO     | ecommerce | product_service.py:192 | 商品已删除: ID=e69d5735-948a-4a10-8914-770e20ad941e, 硬删除=False
2026-02-21 15:10:18 | INFO     | ecommerce | product_service.py:75 | 分类已删除: ID=c671b8d5-a566-4b96-ba54-d871d8cf8a4a
2026-02-21 15:10:18 | INFO     | ecommerce | product_service.py:88 | 创建商品: 购物车测试商品
2026-02-21 15:10:18 | INFO     | ecommerce | product_service.py:103 | 商品创建成功: ID=8222170b-0d5a-44bc-96bc-6020647e7938
2026-02-21 15:10:18 | INFO     | ecommerce | cart_service.py:85 | 购物车添加商品: user_id=1, product_id=8222170b-0d5a-44bc-96bc-6020647e7938, quantity=2
2026-02-21 15:10:18 | INFO     | ecommerce | cart_service.py:163 | 购物车数量更新: cart_id=62a1c894-8526-4f61-9899-8ff9971fe05b, quantity=5
2026-02-21 15:10:18 | INFO     | ecommerce | cart_service.py:225 | 购物车清空: user_id=1, session_id=None, 删除项数=1
2026-02-21 15:10:18 | INFO     | ecommerce | product_service.py:192 | 商品已删除: ID=8222170b-0d5a-44bc-96bc-6020647e7938, 硬删除=True
2026-02-21 15:10:18 | INFO     | ecommerce | address_service.py:73 | 地址创建成功: user_id=1, address_id=e6590a43-064b-4498-9c69-f509c2829a68
2026-02-21 15:10:25 | INFO     | ecommerce | product_service.py:21 | 创建分类: 测试分类
2026-02-21 15:10:25 | INFO     | ecommerce | product_service.py:88 | 创建商品: 购物车测试商品
2026-02-21 15:10:25 | INFO     | ecommerce | product_service.py:103 | 商品创建成功: ID=df1e55b0-338b-4c90-b3f5-4ab3508e61f2
2026-02-21 15:10:25 | INFO     | ecommerce | cart_service.py:85 | 购物车添加商品: user_id=1, product_id=df1e55b0-338b-4c90-b3f5-4ab3508e61f2, quantity=2
2026-02-21 15:10:25 | INFO     | ecommerce | cart_service.py:163 | 购物车数量更新: cart_id=fbe1ba29-8603-41b4-9f52-ff03bc4dc35b, quantity=5
2026-02-21 15:10:25 | INFO     | ecommerce | cart_service.py:225 | 购物车清空: user_id=1, session_id=None, 删除项数=1
2026-02-21 15:10:25 | INFO     | ecommerce | product_service.py:192 | 商品已删除: ID=df1e55b0-338b-4c90-b3f5-4ab3508e61f2, 硬删除=True
2026-02-21 15:10:25 | INFO     | ecommerce | address_service.py:73 | 地址创建成功: user_id=1, address_id=8fc808e1-1274-4d59-968b-597304fe7655
2026-02-21 15:11:35 | INFO     | ecommerce | product_service.py:21 | 创建分类: 测试分类_ed0f8331
2026-02-21 15:11:35 | INFO     | ecommerce | product_service.py:30 | 分类创建成功: ID=d6d95b6a-605d-43ba-9999-3af44f5bf54d
2026-02-21 15:11:35 | INFO     | ecommerce | product_service.py:88 | 创建商品: 测试商品_e3e8608e
2026-02-21 15:11:35 | INFO     | ecommerce | product_service.py:103 | 商品创建成功: ID=c524602c-b261-4191-8ef9-dff0f385ff7d
2026-02-21 15:11:35 | INFO     | ecommerce | product_service.py:176 | 商品更新成功: ID=c524602c-b261-4191-8ef9-dff0f385ff7d
2026-02-21 15:11:35 | INFO     | ecommerce | product_service.py:227 | 创建商品规格: product_id=c524602c-b261-4191-8ef9-dff0f385ff7d, name=颜色
2026-02-21 15:11:35 | INFO     | ecommerce | product_service.py:218 | 商品库存扣减: ID=c524602c-b261-4191-8ef9-dff0f385ff7d, 扣减=10, 剩余=90
2026-02-21 15:11:35 | INFO     | ecommerce | product_service.py:192 | 商品已删除: ID=c524602c-b261-4191-8ef9-dff0f385ff7d, 硬删除=False
2026-02-21 15:11:35 | INFO     | ecommerce | product_service.py:75 | 分类已删除: ID=d6d95b6a-605d-43ba-9999-3af44f5bf54d
2026-02-21 15:11:35 | INFO     | ecommerce | auth_service.py:79 | 创建新用户: testuser
2026-02-21 15:11:35 | INFO     | ecommerce | auth_service.py:79 | 创建新用户: testuser2
2026-02-21 15:12:36 | INFO     | ecommerce | product_service.py:21 | 创建分类: 测试分类_df28ee2d
2026-02-21 15:12:36 | INFO     | ecommerce | product_service.py:30 | 分类创建成功: ID=5627cdca-caef-48f3-82f6-aea8abb24b4b
2026-02-21 15:12:36 | INFO     | ecommerce | product_service.py:88 | 创建商品: 测试商品_2e4b77e4
2026-02-21 15:12:37 | INFO     | ecommerce | product_service.py:103 | 商品创建成功: ID=692989cd-5522-4a8f-a6c3-0438a3e444f7
2026-02-21 15:12:37 | INFO     | ecommerce | product_service.py:176 | 商品更新成功: ID=692989cd-5522-4a8f-a6c3-0438a3e444f7
2026-02-21 15:12:37 | INFO     | ecommerce | product_service.py:227 | 创建商品规格: product_id=692989cd-5522-4a8f-a6c3-0438a3e444f7, name=颜色
